C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
34   |HD 6130A                           |*  |01 03 37.0027312243 +61 04 29.353995925|015.9041780467679 +61.0748205544236|     ~| 6.51 | 6.00 |     ~|     ~|~                    |   0 |   0
35   |HD 223421                          |*  |23 49 11.9239959648 +58 57 47.544515365|357.2996833165199 +58.9632068098236|     ~| 6.754| 6.355|     ~|     ~|F2IV                 |  47 |   0
36   |* 79 Cyg                           |** |21 43 25.6523675910 +38 17 00.924258279|325.8568848649625 +38.2835900717442|     ~| 5.688| 5.695|     ~|     ~|A0V                  |  43 |   1
37   |HD 199218                          |Be*|20 54 22.2544321627 +40 42 10.649783833|313.5927268006779 +40.7029582732869| 6.22 | 6.609| 6.702|     ~|     ~|B9Vn                 |  67 |   1
38   |* f Oph                            |*  |17 34 36.6945508246 +09 35 12.100465951|263.6528939617693 +09.5866945738752| 5.82 | 5.83 | 5.81 |     ~|     ~|A2V                  |  52 |   0
39   |HD 13336                           |PM*|02 09 09.2924713056 -43 30 59.741706747|032.2887186304399 -43.5165949185408|     ~| 7.042| 5.830|     ~|     ~|K1III                |  15 |   0
40   |HD 28454                           |PM*|04 27 05.9649794496 -46 56 50.973406920|066.7748540810400 -46.9474926130333|     ~| 6.56 | 6.10 |     ~|     ~|F5.5V                |  57 |   0
41   |HD 200856                          |PM*|21 07 53.8599887538 -48 56 24.453771602|316.9744166198077 -48.9401260476671|     ~| 6.669| 6.691|     ~|     ~|A0V                  |   9 |   0
42   |HD 29051                           |*  |04 35 02.3688413767 +17 12 04.431356352|068.7598701724030 +17.2012309323199|     ~| 8.67 | 6.79 |     ~|     ~|K5                   |  30 |   0
43   |HD 79846                           |V* |09 14 17.9905341669 -55 34 10.668611883|138.5749605590287 -55.5696301699676|     ~| 6.234| 5.254|     ~|     ~|G8II/III             |  25 |   0
44   |HD 133518                          |*  |15 06 55.9722559425 -52 01 47.238970853|226.7332177330939 -52.0297886030147| 5.57 | 6.29 | 6.39 |     ~|     ~|B2IVpHe              |  90 |   0
45   |HD 152233                          |SB*|16 54 03.5915443398 -41 47 29.834880322|253.5149647680825 -41.7916208000894| 5.93 | 6.72 | 6.59 |     ~|     ~|O6II(f)              | 184 |   0
46   |HD 11348                           |PM*|01 52 22.3245364390 +37 25 47.241935065|028.0930189018291 +37.4297894264070| 7.310| 7.320| 6.890|     ~|     ~|F8                   |  27 |   0
47   |* 75 Cyg                           |** |21 40 11.1079466463 +43 16 25.816084713|325.0462831110264 +43.2738378013093|     ~| 6.682| 5.086|     ~|     ~|M1IIIab              |  64 |   0
48   |* zet Hyi                          |PM*|02 45 32.6337977530 -67 36 59.832650544|041.3859741573042 -67.6166201807067|     ~| 4.886| 4.820|     ~|     ~|A2IV/V               |  43 |   0
49   |* gam CMi                          |SB*|07 28 09.7930317295 +08 55 31.907956790|112.0408042988730 +08.9255299879973| 7.26 | 5.73 | 4.30 | 3.19 | 2.40 |K3-IIIFe-0.5         |  98 |   0
50   |V* RR Sco                          |Mi*|16 56 37.8414071798 -30 34 48.189816056|254.1576725299160 -30.5800527266823| 8.46 | 7.64 | 6.10 |     ~|     ~|M6+e                 | 150 |   0
51   |HD 187098                          |PM*|19 49 11.6108568716 -28 47 20.295970626|297.2983785702983 -28.7889711029518|     ~| 6.417| 6.031|     ~|     ~|F3V                  |  46 |   0
52   |HD 200614B                         |*  |21 02 08.982 +56 40 12.27              |315.537425 +56.670075              |     ~| 6.85 | 6.90 |     ~|     ~|B9V                  |   2 |   0
