C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
2564 |HD 48087                           |PM*|06 39 56.9171659301 -38 09 32.387334560|099.9871548580420 -38.1589964818223|     ~| 7.775| 6.579|     ~|     ~|K1IIICNIb            |  13 |   0
2565 |HD 12563                           |*  |02 02 28.2641520572 -29 39 56.315752032|030.6177673002383 -29.6656432644533|     ~| 6.56 | 6.41 |     ~|     ~|A3III                |  30 |   0
2566 |HD 18216                           |*  |02 55 31.5654803612 +02 01 05.769591993|043.8815228348384 +02.0182693311091|     ~| 6.548| 6.583|     ~|     ~|B9V                  |  20 |   0
2567 |HD 81790                           |PM*|09 29 47.7327336323 +55 44 42.851501455|142.4488863901347 +55.7452365281819| 6.840| 6.870| 6.510|     ~|     ~|F3Vs                 |  35 |   0
2568 |HD 201852                          |*  |21 13 18.9617005138 -36 25 24.701873348|318.3290070854742 -36.4235282981521|     ~| 6.932| 5.954|     ~|     ~|K0III                |  18 |   0
2569 |HD 16399                           |SB*|02 38 00.7467858449 +07 41 43.023305456|039.5031116076871 +07.6952842515155|     ~| 6.79 | 6.39 |     ~|     ~|F5IV                 |  61 |   0
2570 |HD 20894                           |*  |03 21 24.0043600176 -23 38 06.552850356|050.3500181667399 -23.6351535695433|     ~| 6.381| 5.496|     ~|     ~|G7IIbCN-1Hdel-1      |  69 |   0
2571 |HD 196527                          |*  |20 38 08.6474912360 -04 22 54.621125666|309.5360312134834 -04.3818392015740|     ~| 8.12 | 6.92 |     ~|     ~|K1III                |   6 |   0
2572 |HD 103884                          |V* |11 57 40.0074803839 -62 26 55.492174837|179.4166978349329 -62.4487478263435|     ~| 5.400| 5.557|     ~|     ~|B4V                  |  73 |   0
2573 |* eta Her                          |PM*|16 42 53.7650947 +38 55 20.112868      |250.7240212279 +38.9222535744      | 5.03 | 4.42 | 3.50 | 2.83 | 2.35 |G7IIIFe-1            | 275 |   0
2574 |HD 93359                           |*  |10 44 32.3380166645 -70 51 18.927297205|161.1347417361021 -70.8552575825570|     ~| 6.676| 6.442|     ~|     ~|A6IV                 |  27 |   0
2575 |* f01 Ori                          |Be*|06 12 03.2795497 +16 07 49.461443      |093.0136647904 +16.1304059564      | 4.21 | 4.80 | 4.92 | 4.94 | 5.08 |B5Vn                 | 117 |   0
2576 |HD 162667                          |** |17 50 31.4921281163 +36 50 46.072824392|267.6312172004846 +36.8461313401089|     ~| 7.90 | 6.90 |     ~|     ~|G0                   |  17 |   1
2577 |HD 87096                           |PM*|10 02 33.1823781758 -13 17 47.450274596|150.6382599090658 -13.2965139651655|     ~| 7.49 | 6.99 |     ~|     ~|F6IV                 |  27 |   0
2578 |HD 136137                          |*  |15 17 53.0713150914 +33 35 39.588665799|229.4711304795476 +33.5943301849442|     ~| 7.57 | 6.65 |     ~|     ~|G5                   |   7 |   0
2579 |HD 9298                            |*  |01 32 07.5773640109 +34 47 59.867281472|023.0315723500455 +34.7999631337421|     ~| 6.277| 6.373|     ~|     ~|B7IIIp(HgMn)         |  56 |   0
2580 |HD 126475                          |*  |14 26 49.8731345570 -39 52 26.349692845|216.7078047273209 -39.8739860257902|     ~| 6.263| 6.346|     ~|     ~|B9V                  |  35 |   0
2581 |HD 157261                          |PM*|17 22 04.1311560286 +05 00 02.931240931|260.5172131501190 +05.0008142335920|     ~| 7.62 | 6.69 |     ~|     ~|G5                   |  25 |   0
2582 |* 192 Gem                          |*  |07 43 22.1789286486 +22 23 58.003778319|115.8424122027026 +22.3994454939774|     ~| 7.167| 6.229|     ~|     ~|K0III                |  46 |   0
2583 |HD 117145                          |*  |13 29 16.0622483091 -45 32 16.013598256|202.3169260346212 -45.5377815550712|     ~| 6.562| 6.603|     ~|     ~|B9IV/V               |  14 |   0
2584 |HD 223524                          |PM*|23 50 14.7300841768 -09 58 26.897093481|357.5613753507366 -09.9741380815224|     ~| 7.069| 5.936|     ~|     ~|K1III                |  49 |   0
2585 |V* V717 CrA                        |LP*|18 37 15.6621664725 -40 48 13.130715691|279.3152590269688 -40.8036474210253|     ~| 8.42 | 6.95 |     ~|     ~|G6IICNIV             |  12 |   0
2586 |HD 190070                          |PM*|20 02 52.1678221596 +10 54 42.116093676|300.7173659256652 +10.9116989149100|     ~| 7.05 | 6.92 |     ~|     ~|A2                   |   7 |   0
2587 |HD 193307                          |PM*|20 21 41.0361307296 -49 59 57.901102060|305.4209838780402 -49.9994169727945|     ~| 6.82 | 6.28 |     ~|     ~|F9V                  | 121 |   0
2588 |HD 112542                          |PM*|12 57 26.2364022504 +01 25 40.787538334|194.3593183427099 +01.4279965384262|     ~| 7.35 | 6.90 |     ~|     ~|F3V                  |  37 |   0
2589 |V* QY Pup                          |s*r|07 47 38.5263889310 -15 59 26.480009421|116.9105266205459 -15.9906888915057|     ~| 8.095| 6.309|     ~|     ~|K1Ia-Iab             |  86 |   0
2590 |HD 7254                            |*  |01 13 16.1858783272 +34 05 54.253776843|018.3174411596968 +34.0984038269009| 6.13 | 6.60 | 6.75 |     ~|     ~|~                    |  20 |   0
2591 |* 50 Ari                           |** |03 00 31.5076923835 +18 00 17.940415705|045.1312820515979 +18.0049834488069|     ~| 6.82 | 6.80 |     ~|     ~|A0                   |  29 |   0
2592 |M 2                                |GlC|21 33 27.02 -00 49 23.7                |323.36258 -00.82325                |     ~|     ~| 6.25 |     ~|     ~|~                    | 947 |   1
2593 |HD 56621                           |*  |07 16 19.3896452272 -32 02 30.263568539|109.0807901884465 -32.0417398801497|     ~| 8.54 | 6.90 |     ~|     ~|K4III                |  10 |   0
2594 |HD 166006                          |*  |18 11 04.4049604054 -47 30 47.241523693|272.7683540016890 -47.5131226454704|     ~| 7.268| 6.069|     ~|     ~|K1IIICNII            |  15 |   0
2595 |HD 125809                          |*  |14 23 15.3526339668 -47 25 01.061130989|215.8139693081949 -47.4169614252748|     ~| 7.66 | 6.39 |     ~|     ~|G5/6Ib               |  28 |   0
2596 |* 49 Cyg                           |** |20 41 02.5422186326 +32 18 26.237959572|310.2605925776358 +32.3072883221033|     ~| 6.672| 5.638|     ~|     ~|G8IIb                |  78 |   0
2597 |HD 24431                           |** |03 55 38.4225403937 +52 38 28.738582945|058.9100939183070 +52.6413162730402| 6.50 | 7.11 | 6.74 | 6.36 | 6.10 |O9III                | 155 |   0
2598 |HD 150085                          |*  |16 42 38.9873570821 -61 47 06.059126691|250.6624473211755 -61.7850164240807|     ~| 7.363| 6.576|     ~|     ~|F8II                 |  21 |   0
2599 |HD 45257                           |*  |06 26 25.1639732590 -00 46 36.265442600|096.6048498885791 -00.7767404007222|     ~| 6.78 | 6.80 |     ~|     ~|B9V                  |  13 |   0
2600 |HD 153258                          |*  |17 00 32.3617281349 -45 27 06.320911610|255.1348405338954 -45.4517558087805|     ~| 8.48 | 6.65 |     ~|     ~|K4III                |  12 |   0
2601 |HD 194116                          |PM*|20 23 27.0243337220 +10 21 47.352566423|305.8626013905082 +10.3631534906730|     ~| 7.75 | 6.70 |     ~|     ~|K2                   |   9 |   0
2602 |HD 125184                          |PM*|14 18 00.7267905253 -07 32 32.612018298|214.5030282938556 -07.5423922273050|     ~| 7.20 | 6.50 |     ~|     ~|G5/6V                | 152 |   0
2603 |HD 60818                           |PM*|07 39 12.4602555678 +53 54 02.145213917|114.8019177315325 +53.9005958927546|     ~| 6.721| 6.655|     ~|     ~|B9                   |  14 |   0
2604 |HD 107670                          |*  |12 22 04.3723204413 +61 35 29.027959832|185.5182180018387 +61.5913966555090|     ~| 7.86 | 6.74 |     ~|     ~|G5                   |  11 |   0
2605 |HD 128617                          |PM*|14 39 24.4728837516 -49 03 19.157687198|219.8519703489651 -49.0553215797773|     ~| 6.83 | 6.39 |     ~|     ~|F5IV/V               |  41 |   0
2606 |HD 152224                          |PM*|16 50 43.1497776217 +32 33 13.206761186|252.6797907400905 +32.5536685447739|     ~| 7.182| 6.158|     ~|     ~|K0III                |  39 |   0
2607 |V* AR Cas                          |EB*|23 30 01.9402842213 +58 32 56.100198639|352.5080845175886 +58.5489167218441| 4.18 | 4.760| 4.886|     ~|     ~|B3V                  | 205 |   1
2608 |HD 218725                          |*  |23 09 52.4432750716 +39 28 09.157629667|347.4685136461318 +39.4692104526853| 7.050| 6.900| 6.680|     ~|     ~|A2Vm                 |  21 |   0
2609 |HD 24076                           |*  |03 50 52.4276034591 +23 57 41.234843839|057.7184483477463 +23.9614541232886|     ~| 7.02 | 6.92 |     ~| 6.81 |A2V                  |  81 |   0
2610 |HD 211554                          |*  |22 16 26.5634835956 +57 13 12.853034712|334.1106811816483 +57.2202369540866|     ~| 6.832| 5.882|     ~|     ~|G8III                |  38 |   0
2611 |HD 55129                           |*  |07 13 04.1946844426 +31 57 55.751370717|108.2674778518442 +31.9654864918657|     ~| 6.94 | 6.90 |     ~|     ~|A0                   |   7 |   0
2612 |HD 90009                           |PM*|10 23 49.5157097521 +25 34 05.437610538|155.9563154573003 +25.5681771140382| 9.180| 7.960| 6.780|     ~|     ~|K2III                |  16 |   0
2613 |HD 26031                           |*  |04 08 56.8125320158 +41 30 14.458843272|062.2367188833992 +41.5040163453533|     ~| 7.10 | 6.98 |     ~|     ~|A3                   |   9 |   0
2614 |HD 157527                          |*  |17 24 42.0288002333 -21 26 29.333588400|261.1751200009723 -21.4414815523334|     ~| 6.773| 5.830|     ~|     ~|K0III                |  38 |   1
2615 |HD 70963                           |*  |08 23 49.3711144270 -28 58 13.026109374|125.9557129767791 -28.9702850303817|     ~| 6.64 | 6.63 |     ~|     ~|A0V                  |  20 |   0
2616 |HD 139677A                         |PM*|15 41 06.9157984509 -39 58 58.032892832|235.2788158268788 -39.9827869146756|     ~| 7.23 | 6.79 |     ~|     ~|~                    |   0 |   0
2617 |* Q Vel                            |*  |10 08 56.2395143 -51 48 40.538708      |152.2343313096 -51.8112607522      | 3.99 | 4.711| 4.845|     ~|     ~|B3III/IV             |  43 |   0
2618 |HD 57049                           |*  |07 20 06.8418765508 +15 08 34.547959280|110.0285078189615 +15.1429299886889|     ~| 6.449| 6.442|     ~|     ~|A2Vn                 |  25 |   0
2619 |HD 35543                           |*  |05 27 54.7018480019 +48 13 35.911780182|081.9779243666744 +48.2266421611617|     ~| 8.00 | 6.51 |     ~|     ~|K5                   |   9 |   0
2620 |HD 165259A                         |PM*|18 12 34.0827363003 -73 40 20.769721313|273.1420114012512 -73.6724360336981|     ~| 6.36 | 5.91 |     ~|     ~|~                    |   3 |   0
2621 |HD 159082                          |SB*|17 32 14.8802759533 +11 55 48.184013482|263.0620011498053 +11.9300511148560| 6.260| 6.440| 6.450|     ~|     ~|B9.5V                |  86 |   0
2622 |V* SZ Tau                          |cC*|04 37 14.7778803229 +18 32 34.929341041|069.3115745013456 +18.5430359280670| 7.65 | 7.13 | 6.37 |     ~|     ~|F6.7:Ib              | 296 |   0
2623 |HD 84984                           |*  |09 48 43.4893849473 -09 55 07.081007983|147.1812057706136 -09.9186336133287|     ~| 6.98 | 6.97 |     ~|     ~|A0V                  |  16 |   0
2624 |* del Oct                          |PM*|14 26 55.2324425 -83 40 04.386830      |216.7301351771 -83.6678852306      |     ~| 5.615| 4.304|     ~|     ~|K2III                |  40 |   0
2625 |HD 223128                          |*  |23 46 36.7361851127 +66 46 56.076956626|356.6530674379695 +66.7822435990627| 5.15 | 5.883| 5.937|     ~|     ~|B2IV                 |  65 |   0
2626 |HD 16493                           |PM*|02 33 16.5375315064 -75 53 36.617771422|038.3189063812765 -75.8935049365062|     ~| 7.28 | 6.85 |     ~|     ~|F5V                  |  24 |   0
2627 |HD 223786                          |*  |23 52 40.8765742106 -24 59 06.606655979|358.1703190592106 -24.9851685155497|     ~| 8.07 | 6.76 |     ~|     ~|K1III                |   9 |   0
2628 |HD 80970                           |*  |09 22 32.2383549546 -15 14 05.412398896|140.6343264789773 -15.2348367774711|     ~| 7.71 | 6.72 |     ~|     ~|G8III                |   8 |   0
2629 |V* CG Tuc                          |a2*|23 29 00.9803255800 -63 06 38.352640450|352.2540846899168 -63.1106535112362|     ~| 5.51 | 5.68 |     ~|     ~|ApSi                 |  90 |   0
2630 |HD 91165                           |*  |10 31 36.2571716104 +02 50 41.180199717|157.9010715483767 +02.8447722776991|     ~| 7.69 | 6.56 |     ~|     ~|K1III                |  15 |   0
2631 |* nu. And                          |SB*|00 49 48.8473652 +41 04 44.076380      |012.4535306883 +41.0789101056      | 3.80 | 4.38 | 4.53 | 4.56 | 4.71 |B5V                  | 203 |   0
2632 |HD 47888A                          |*  |06 41 09.4177319549 +08 59 05.003937982|100.2892405498121 +08.9847233161061|     ~| 7.968| 6.992| 7.45 |     ~|~                    |   0 |   0
2633 |HD 62758                           |*  |07 42 10.2180307831 -58 37 51.304009770|115.5425751282629 -58.6309177804918|     ~| 6.288| 6.389|     ~|     ~|B3V                  |  34 |   0
2634 |HD 199395                          |*  |20 55 26.4849054191 +43 22 02.016303352|313.8603537725796 +43.3672267509310|     ~| 8.160| 6.704|     ~|     ~|K4III                |  15 |   0
2635 |HD 83104                           |*  |09 35 33.8002342017 -19 35 00.222276617|143.8908343091738 -19.5833950768381|     ~| 6.37 | 6.31 |     ~|     ~|A0V                  |  27 |   0
2636 |HD 11964                           |PM*|01 57 09.6073695508 -10 14 32.731766141|029.2900307064617 -10.2424254905947|     ~| 7.25 | 6.42 |     ~|     ~|G9VCN+1              | 163 |   1
2637 |HD 157935                          |*  |17 25 40.8897551484 +16 23 02.244620383|261.4203739797850 +16.3839568389952|     ~| 7.00 | 6.62 |     ~|     ~|F5III                |  27 |   0
2638 |* 39 Nor                           |LP?|16 13 16.9696543422 -53 40 16.223419053|243.3207068930926 -53.6711731719591|     ~| 7.863| 5.944|     ~|     ~|M0III                |  29 |   0
2639 |* 61 Pic                           |V* |06 29 28.4966556523 -56 51 09.957239098|097.3687360652180 -56.8527658997494|     ~| 6.283| 5.197|     ~|     ~|K0III                |  24 |   0
2640 |HD 193621                          |*  |20 19 48.3217065767 +37 07 57.049613503|304.9513404440696 +37.1325137815287| 6.50 | 6.57 | 6.57 |     ~|     ~|A0III                |  49 |   0
2641 |HD 86353                           |*  |09 56 13.8277779833 -53 37 09.108891446|149.0576157415972 -53.6191969142906|     ~| 6.699| 6.793|     ~|     ~|B7V                  |  11 |   0
2642 |* 18 Cep                           |LP?|22 03 52.9776153163 +63 07 11.710413735|330.9707400638180 +63.1199195593709|     ~| 6.767| 5.300|     ~|     ~|M5III                |  52 |   0
2643 |HD 156284                          |*  |17 15 41.4702514442 +23 44 33.932913057|258.9227927143509 +23.7427591425159|     ~| 7.320| 5.975|     ~|     ~|K2III                |  29 |   0
2644 |HD 43179                           |*  |06 13 33.4787686188 -29 23 44.657672548|093.3894948692450 -29.3957382423745|     ~| 6.406| 6.513|     ~|     ~|B8V                  |  28 |   0
2645 |HD 36166                           |V* |05 29 54.7755487007 +01 47 21.323228963|082.4782314529195 +01.7892564524896| 4.74 | 5.562| 5.745|     ~|     ~|B2V                  | 114 |   0
2646 |GEN# +9.04007220                   |*  |No Coord.                              |No Coord.                          |     ~| 6.16 | 6.30 |     ~|     ~|~                    |   0 |   0
2647 |HD 155363A                         |PM*|17 12 10.9353493174 -27 02 32.495155146|258.0455639554891 -27.0423597653183|     ~| 7.85 | 6.80 |     ~|     ~|~                    |   0 |   0
2648 |* 10 Sex                           |PM*|09 56 25.97587 +08 55 59.3608          |149.10823279 +08.93315578          |     ~| 6.985| 5.848|     ~|     ~|K2III:               |  27 |   0
2649 |HD 30677                           |*  |04 50 03.6140690917 +08 24 28.243932216|072.5150586212153 +08.4078455367267| 5.94 | 6.82 | 6.84 |     ~|     ~|B1II-III((n))        |  62 |   0
2650 |HD 19268                           |*  |03 08 03.8522157932 +52 12 48.629822163|047.0160508991384 +52.2135082839342|     ~| 6.30 | 6.30 |     ~|     ~|B5V                  |  49 |   0
2651 |V* CQ Cam                          |LP*|03 24 40.5563686966 +64 35 09.587610453|051.1689848695691 +64.5859965584591| 9.53 | 7.24 | 5.19 | 3.61 | 2.38 |M0II                 |  80 |   0
2652 |HD 156768                          |*  |17 22 55.22084 -58 00 37.1661          |260.73008683 -58.01032393          |     ~| 7.016| 5.872|     ~|     ~|G8Ib/II              |  20 |   1
2653 |HD 8810                            |*  |01 25 05.3072673491 -64 22 10.115869292|021.2721136139547 -64.3694766303589|     ~| 7.449| 5.900|     ~|     ~|K5III                |  33 |   0
2654 |HD 84124                           |*  |09 43 22.4710255874 +20 11 35.481995347|145.8436292732810 +20.1931894431520| 9.160| 7.870| 6.680|     ~|     ~|K0                   |  11 |   0
2655 |HD 16569                           |*  |02 39 08.9320620277 -09 49 52.360292424|039.7872169251155 -09.8312111923400|     ~| 7.68 | 6.64 |     ~|     ~|K0III                |   8 |   0
2656 |HD 60292                           |*  |07 38 28.8262989433 +66 14 06.599628352|114.6201095789304 +66.2351665634311|     ~| 8.26 | 6.94 |     ~|     ~|K0                   |   9 |   0
2657 |HD 66306                           |** |08 01 57.11650 -27 12 53.2270          |120.48798543 -27.21478528          |     ~| 6.803| 6.864|     ~|     ~|B7II                 |   8 |   1
2658 |* mu. UMa                          |SB*|10 22 19.7397659 +41 29 58.269105      |155.5822490246 +41.4995191958      | 6.53 | 4.64 | 3.05 | 1.76 | 0.80 |M0III                | 299 |   0
2659 |HD 23384                           |PM*|03 47 10.6378734349 +51 42 22.994662690|056.7943244726456 +51.7063874063029| 8.973| 7.22 | 6.85 |     ~|     ~|F2                   |  28 |   0
2660 |HD 121197                          |*  |13 53 08.4364946883 +40 20 16.708165383|208.2851520612013 +40.3379744903842|     ~| 8.068| 6.479|     ~|     ~|K5                   |  15 |   0
2661 |HD 85250                           |PM*|09 48 39.9985952902 -56 24 42.802306050|147.1666608137091 -56.4118895294582|     ~| 6.993| 6.047|     ~|     ~|K0III                |  23 |   0
2662 |HD 26516                           |*  |04 11 31.6464396927 -00 25 20.999075791|062.8818601653864 -00.4224997432752|     ~| 7.701| 6.594|     ~|     ~|K1III                |  13 |   0
2663 |HD 6559                            |PM*|01 06 07.7155420866 -23 59 32.948598772|016.5321480920277 -23.9924857218812|     ~| 7.180| 6.114|     ~|     ~|K1III                |  41 |   0
2664 |HD 71805                           |** |08 26 57.7453341 -52 42 17.814048      |126.7406055587 -52.7049483467      |     ~| 6.909| 6.49 |     ~|     ~|F5V                  |  44 |   0
2665 |HD 61236                           |*  |07 38 01.5509961065 -08 07 34.518237901|114.5064624837770 -08.1262550660836|     ~| 7.82 | 6.91 |     ~|     ~|G8III                |  12 |   0
2666 |HD 16218                           |*  |02 38 58.3351764271 +62 35 29.456826850|039.7430632351129 +62.5915157852360|     ~| 6.630| 6.652|     ~|     ~|B/A                  |  25 |   0
2667 |HD 199280                          |*  |20 56 18.2549004375 -03 33 42.096071539|314.0760620851561 -03.5616933532053|     ~| 6.480| 6.564|     ~|     ~|B8IV                 |  40 |   0
2668 |* alf Com B                        |PM*|13 09 59.288719 +17 31 46.24482        |197.497036329 +17.529512450        |     ~| 5.92 | 5.48 |     ~|     ~|F6V                  |  93 |   0
2669 |HD 200430                          |V* |21 03 01.7950657091 +14 43 48.087001042|315.7574794404546 +14.7300241669561|     ~| 7.980| 6.329|     ~|     ~|M1III                |  33 |   0
2670 |HD 43993                           |*  |06 18 50.5826247717 -09 23 24.070757227|094.7107609365487 -09.3900196547854|     ~| 6.590| 5.352|     ~|     ~|K1.5III              |  28 |   0
2671 |HD 222387                          |SB*|23 39 21.1429459232 +74 00 09.466259998|354.8380956080134 +74.0026295166661|     ~| 6.867| 5.973|     ~|     ~|G8III                |  20 |   0
2672 |HD 71197                           |*  |08 25 18.2946851015 -22 08 24.943741182|126.3262278545897 -22.1402621503284|     ~| 7.90 | 6.93 |     ~|     ~|G8III                |   9 |   0
2673 |* del CrB                          |RS*|15 49 35.6468905541 +26 04 06.203245322|237.3985287106422 +26.0683897903673| 5.80 | 5.43 | 4.63 | 4.00 | 3.58 |G5III-IVFe-1         | 197 |   0
2674 |HD 172831                          |SB*|18 42 36.1199212284 -07 04 25.134408337|280.6504996717849 -07.0736484467603|     ~| 7.147| 6.125|     ~|     ~|K1III                |  32 |   0
2675 |* tau Tau                          |SB*|04 42 14.6926362488 +22 57 24.894510556|070.5612193177035 +22.9569151418211|     ~| 4.138| 4.258|     ~|     ~|B3V                  | 185 |   0
2676 |* 36 Lyn                           |Ro*|09 13 48.2134497341 +43 13 04.180738938|138.4508893738922 +43.2178279830382| 4.72 | 5.148| 5.282|     ~|     ~|~                    | 202 |   0
2677 |HD 199952                          |*  |21 01 25.8877018001 -32 53 44.181305133|315.3578654241670 -32.8956059180926|     ~| 7.00 | 6.86 |     ~|     ~|A3III/IV             |   9 |   0
2678 |HD 97022                           |PM*|11 09 58.7397092644 -29 47 39.018578704|167.4947487886016 -29.7941718274178|     ~| 8.15 | 6.80 |     ~|     ~|K2III                |   9 |   0
2679 |* 70 Vir                           |PM*|13 28 25.8081883620 +13 46 43.642951116|202.1075341181750 +13.7787897086433| 5.930| 5.680| 4.970| 4.37 | 3.98 |G4Va                 | 690 |   1
2680 |HD 92683                           |*  |10 30 49.2810664023 -86 05 26.460774767|157.7053377766763 -86.0906835485464|     ~| 6.75 | 6.65 |     ~|     ~|A1/2IV/V             |  20 |   0
2681 |[SC93] 103                         |*  |06 14 54.0 +00 53 00                   |093.7250 +00.8833                  |     ~|     ~| 6.94 |     ~|     ~|B5                   |   1 |   0
2682 |HD 176969                          |PM*|19 00 50.1581034199 +42 15 09.133268146|285.2089920975827 +42.2525370189293|     ~| 7.34 | 6.81 |     ~|     ~|F8                   |  22 |   0
2683 |HD 86321                           |*  |10 08 34.3305282491 +83 55 06.170271917|152.1430438677044 +83.9183806310881| 9.460| 7.850| 6.310|     ~|     ~|K0                   |  20 |   0
2684 |HD 218674                          |Be*|23 09 16.7464233962 +49 39 02.211070013|347.3197767641508 +49.6506141861146| 6.17 | 6.700| 6.748|     ~|     ~|B4V(e)               |  88 |   0
2685 |HD 197214                          |SB*|20 43 15.9971544063 -29 25 26.107915068|310.8166548100264 -29.4239188652968| 7.778| 7.635| 6.960| 6.583| 6.229|G6V                  |  82 |   0
2686 |HD 156890                          |*  |17 16 04.8919448394 +60 42 50.051422436|259.0203831034975 +60.7139031728989|     ~| 7.24 | 6.89 |     ~|     ~|F0                   |  28 |   0
2687 |V* V509 Cas                        |LP*|23 00 05.1007915562 +56 56 43.348681058|345.0212532981510 +56.9453746336272| 8.01 | 6.68 | 5.13 | 3.96 | 3.11 |G4_0                 | 320 |   0
2688 |HD 23526                           |PM*|03 46 09.3640043225 +06 48 12.686057175|056.5390166846769 +06.8035239047707|     ~| 6.896| 5.922|     ~|     ~|G9III                |  30 |   0
2689 |HD 220134                          |*  |23 21 21.5415548589 -04 40 21.941319783|350.3397564785787 -04.6727614777174|     ~| 6.92 | 6.78 |     ~|     ~|A1IV                 |   8 |   0
2690 |HD 106248                          |*  |12 13 56.4621438773 -78 34 26.173744076|183.4852589328222 -78.5739371511323|     ~| 7.593| 6.337|     ~|     ~|K2/3IIICNII          |  20 |   0
2691 |HD 214097                          |*  |22 35 15.6608923190 +45 09 12.253032694|338.8152537179959 +45.1534036201927|     ~| 8.34 | 6.97 |     ~|     ~|K5                   |   7 |   0
2692 |HD 131491                          |** |14 56 38.3389085 -62 21 51.900928      |224.1597454521 -62.3644169244      |     ~| 6.331| 6.391|     ~|     ~|B4III                |  20 |   1
2693 |HD 22105                           |*  |03 36 21.9186486343 +55 53 12.628627377|054.0913277026428 +55.8868412853826|     ~| 6.93 | 6.82 |     ~|     ~|B8                   |  19 |   0
2694 |HD 111613                          |sg*|12 51 17.9762278922 -60 19 47.233954725|192.8249009495508 -60.3297872096459| 6.00 | 6.10 | 5.72 | 5.32 | 5.03 |B9.5Iab              | 112 |   0
2695 |* ups Aur                          |PM*|05 51 02.4380435197 +37 18 20.058136105|087.7601585146654 +37.3055717044736| 8.29 | 6.36 | 4.74 | 3.38 | 2.31 |M0III                |  72 |   0
2696 |* phi02 Cnc A                      |*  |08 26 47.0710926603 +26 56 07.759745439|126.6961295527513 +26.9354888181775|     ~| 6.34 | 6.13 |     ~|     ~|A5IV                 |  41 |   0
2697 |HD 76010                           |*  |08 54 21.2617188299 +26 55 25.512708675|133.5885904951246 +26.9237535301874|     ~| 8.58 | 6.99 |     ~|     ~|M0III                |  13 |   0
2698 |HD 37184                           |PM*|05 38 43.8717088868 +41 50 21.198132699|084.6827987870285 +41.8392217035274|     ~| 8.03 | 6.58 |     ~|     ~|K5                   |   9 |   0
2699 |HD 63894                           |*  |07 50 55.2412686128 -11 07 42.928907037|117.7301719525532 -11.1285913630657|     ~| 7.291| 6.158|     ~|     ~|K0/1III              |  18 |   0
2700 |HD 27145                           |PM*|04 17 43.0201158912 +13 50 11.733786397|064.4292504828800 +13.8365927184436| 8.550| 7.920| 6.910|     ~|     ~|G5                   |  21 |   0
2701 |* i Cen                            |SB*|13 45 41.2448252 -33 02 37.399704      |206.4218534383 -33.0437221400      | 4.61 | 4.61 | 4.23 | 3.90 | 3.69 |F2V                  | 159 |   0
2702 |HD 93410                           |PM*|10 46 42.7224864004 -26 02 53.343920225|161.6780103600016 -26.0481510889513|     ~| 7.753| 6.706|     ~|     ~|K0/1III              |  26 |   0
2703 |HD 178947                          |*  |19 09 23.1273856556 +30 33 58.595889487|287.3463641068983 +30.5662766359685| 6.78 | 6.847| 6.930|     ~|     ~|B9                   |  19 |   0
2704 |HD 201941                          |*  |21 12 45.3250085732 +02 38 33.847389262|318.1888542023884 +02.6427353859062|     ~| 7.14 | 6.99 |     ~|     ~|A2/3V                |  46 |   0
2705 |HD 58439                           |*  |07 24 50.8827840599 -19 00 44.215492701|111.2120116002495 -19.0122820813057| 6.57 | 6.526| 6.272| 7.22 |     ~|A2Ib/II              |  36 |   1
2706 |HD 27084                           |PM*|04 19 13.2133212032 +50 02 55.345174450|064.8050555050134 +50.0487069929028|     ~| 5.67 | 5.40 |     ~| 5.23 |A7IV                 |  53 |   0
2707 |HD 207446                          |*  |21 48 08.3942909382 +36 34 49.399004855|327.0349762122426 +36.5803886124598| 9.730| 7.820| 6.260|     ~|     ~|K5                   |  10 |   0
2708 |V* V415 Car                        |EB*|06 49 51.3141446 -53 37 20.818154      |102.4638089358 -53.6224494872      |     ~| 5.323| 4.408|     ~|     ~|G4II                 |  72 |   0
2709 |V* EZ Cet                          |BY*|01 49 23.3505045594 -10 42 13.019336799|027.3472937689977 -10.7036164824443| 7.49 | 7.386| 6.754| 6.392| 6.04 |G3V                  | 158 |   0
2710 |* kap Pav                          |WV*|18 56 57.0309200480 -67 14 00.566631622|284.2376288335335 -67.2334907310062|     ~| 5.08 | 4.40 |     ~|     ~|G5Iab/b              | 124 |   0
2711 |HD 142250                          |*  |15 54 30.1091550054 -27 20 19.084473313|238.6254548125224 -27.3386345759203|     ~| 6.07 | 6.10 |     ~|     ~|B7V                  | 102 |   0
2712 |* 12 Sex                           |PM*|09 59 43.0825702700 +03 23 05.235832029|149.9295107094584 +03.3847877311193|     ~| 6.966| 6.694|     ~|     ~|A3V                  |  51 |   0
2713 |* 3 Mon                            |*  |06 01 50.4239755212 -10 35 52.557324605|090.4600998980050 -10.5979325901681| 4.24 | 4.88 | 5.01 |     ~|     ~|B5III/V              |  55 |   0
